"","Subject","LAYING","SITTING","STANDING","WALKING","WALKING_DOWNSTAIRS","WALKING_UPSTAIRS"
"tBodyAcc-mean()-X",4,0.278582015166667,0.270876696730769,0.279965329555556,0.27153827992,0.280499745892857,0.263559214981481
"tBodyAcc-mean()-Y",4,-0.0148399475341667,-0.0319804295729615,-0.00980200850666667,-0.007163065158,-0.00948911098553571,-0.0150031841055556
"tBodyAcc-mean()-Z",4,-0.11140306485,-0.114219455519231,-0.1067775246,-0.10587459588,-0.0961574905535714,-0.110688150314815
"tGravityAcc-mean()-X",4,0.963999696833333,0.946264314423077,0.947731858666667,0.8693030064,0.95619779125,-0.420664662222222
"tGravityAcc-mean()-Y",4,-0.0858540265666667,-0.232944304615385,-0.0620852772955556,0.211622539936894,-0.0759009061071429,0.915165104259259
"tGravityAcc-mean()-Z",4,0.127764112666667,0.0841675382884615,0.148714808888889,0.11012048108,0.166893825946429,0.341531310555556
"tBodyAccJerk-mean()-X",4,0.0783529082183333,0.0560971909634615,0.0971862748866667,0.0784500239,0.0721328379857143,0.0934494217777778
"tBodyAccJerk-mean()-Y",4,0.00295602428666667,0.0234018993153846,0.00563780215111111,-0.0108582171094,-0.00653015693773214,0.00693313213968519
"tBodyAccJerk-mean()-Z",4,-0.000767679338333334,0.00340280836730769,-0.00729137766444444,-0.0121499951596,-0.0211889890567857,-0.00641054328740741
"tBodyGyro-mean()-X",4,-0.0317982557795,0.0393825198942308,-0.102838822533333,-0.04944351156,-0.0306449342357143,-0.00923156347222222
"tBodyGyro-mean()-Y",4,-0.0726905278583333,-0.0859471683596154,-0.0704025952333333,-0.08943006108,-0.061824850625,-0.0930128180759259
"tBodyGyro-mean()-Z",4,0.0805677161216667,0.0843753843384615,0.05926394948,0.10115033478,0.0755636430892857,0.169720404092593
"tBodyGyroJerk-mean()-X",4,-0.115321556475,-0.1314720713,-0.0921282734666667,-0.09694948424,-0.103057894142857,-0.105019877685185
"tBodyGyroJerk-mean()-Y",4,-0.0393474489133333,-0.0390508828865385,-0.0348434913444444,-0.041848389996,-0.0461257201357143,-0.0381230432222222
"tBodyGyroJerk-mean()-Z",4,-0.0551166852766667,-0.0722496260807692,-0.0492836435688889,-0.0489964351672,-0.0490753497867857,-0.0712156288333333
"tBodyAccMag-mean()",4,-0.312050574166667,-0.153703935357692,-0.0491616726733333,-0.93569482,-0.906478051785714,-0.954557603148148
"tGravityAccMag-mean()",4,-0.312050574166667,-0.153703935357692,-0.0491616726733333,-0.93569482,-0.906478051785714,-0.954557603148148
"tBodyAccJerkMag-mean()",4,-0.366700879833333,-0.400922254807692,-0.228851413747333,-0.9701322836,-0.963370738392857,-0.970095771666667
"tBodyGyroMag-mean()",4,-0.49779220106,-0.299779407884615,-0.3466062928,-0.9260633138,-0.900982100535714,-0.930236462592593
"tBodyGyroJerkMag-mean()",4,-0.6813040365,-0.686978374423077,-0.592843014888889,-0.9804904618,-0.967614073928571,-0.985068502037037
"fBodyAcc-mean()-X",4,-0.426719449666667,-0.294488270365385,-0.0722392276888889,-0.9774624984,-0.973497549642857,-0.958802077592593
"fBodyAcc-mean()-Y",4,-0.14939963344,-0.117109161492308,-0.129606639466667,-0.9057829318,-0.889549205,-0.938883374444444
"fBodyAcc-mean()-Z",4,-0.631005470833333,-0.524655722692308,-0.494683451555556,-0.9517837432,-0.93164342125,-0.967504278888889
"fBodyAcc-meanFreq()-X",4,-0.13859163673,-0.486811749615385,-0.342285696395556,0.037381761194,0.0620999958378571,-0.274194618766667
"fBodyAcc-meanFreq()-Y",4,0.0123477342916667,-0.0662348475480769,0.213581745013333,0.07878600934,-0.0669875048642857,0.366231448994444
"fBodyAcc-meanFreq()-Z",4,-0.0787892636928333,-0.230536706554615,0.0478375669635111,0.01209426602,-0.0377822772491071,0.201329591976111
"fBodyAccJerk-mean()-X",4,-0.358883413666667,-0.418304647307692,-0.16163290774,-0.9768457126,-0.972310894285714,-0.978542457407407
"fBodyAccJerk-mean()-Y",4,-0.279553391533333,-0.297805187243462,-0.172941628735556,-0.9442983908,-0.937624242142857,-0.943969987222222
"fBodyAccJerk-mean()-Z",4,-0.728991595666667,-0.690106934230769,-0.583917371333333,-0.9751549056,-0.968648411607143,-0.975383329444444
"fBodyAccJerk-meanFreq()-X",4,-0.1352803947515,-0.379653611346154,-0.179115175957778,0.2130199199042,0.2722139805,0.182436483157407
"fBodyAccJerk-meanFreq()-Y",4,-0.385880862833333,-0.39270192625,-0.181293185048889,-0.075289966262,-0.126450632983929,0.0987428836296296
"fBodyAccJerk-meanFreq()-Z",4,-0.325737503675,-0.319649297096154,-0.169702261222222,0.012245576986,0.0711056632839286,0.0770211165
"fBodyGyro-mean()-X",4,-0.373384540666667,-0.3710689925,-0.240298893435556,-0.9605896358,-0.905464161964286,-0.967203736481482
"fBodyGyro-mean()-Y",4,-0.688460056666667,-0.684310201538462,-0.717545840444444,-0.9675836478,-0.955992945178571,-0.972187839074074
"fBodyGyro-mean()-Z",4,-0.601381129166667,-0.350765737115385,-0.318306481022222,-0.9337768922,-0.915280955357143,-0.961479262592593
"fBodyGyro-meanFreq()-X",4,-0.12715408578,-0.206073104096154,-0.127145376957778,0.1090926580982,-0.2748096406875,-0.0660921823944444
"fBodyGyro-meanFreq()-Y",4,-0.27466563765,-0.491527600961538,-0.185485631124444,-0.394745539548,-0.364372374642857,-0.526889995562963
"fBodyGyro-meanFreq()-Z",4,0.149851534733333,-0.130134208057692,0.3770740968,-0.1457260342,-0.223109154546429,0.152886311603704
"fBodyAccMag-mean()",4,-0.450804558333333,-0.276825498230769,-0.01907433524,-0.929002095,-0.917614014821429,-0.939389701296296
